Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
04AJ,AcnArb&CelIgu,8,9,8,2.0431918705451,Hetero.diff,104,5,1.1747028793495,0,0,0,12,0.6666666667,218.57142857,,,,66.846428571,100,3,2,7,6,1.7478680975,15.5,16.5,124,132,0.254788341
04AJ,AcnArb&TreMic,9,27,9,2.0474225594759,Hetero.diff,47,2,0.1759751250976,0,0,0,12,0.75,265.2,,,212.5,85.640333333,80,3,2,19,6,1.6081537102,19.8,32.888888889,178,296,0.25403638
04AJ,All,11,33,11,2.0165307931437,Hetero.All,70,11,1.5395546805324,2,3,0.6365141682948,4,2.75,174.28571429,211.11111111,,265.45454545,88.478744589,70,6,6,29,8,1.7309875888,18.8,21.636363636,207,238,0.431177611
04AJ,CapBac,1,1,1,0,Intra,366,6,1.3404041485447,2,2,0.6931471805599,24,0.0416666667,,912,,,127.4976,65,1,1,1,1,0,18.0,18,18,18,0
04AJ,CapBac&CasDec,7,8,6,1.7328679513999,Hetero.diff,363,6,1.0402066287483,5,5,1.6094379124341,12,0.5,,459.0625,,,64.1769375,80,3,2,6,4,1.3296613489,23.6,30.285714286,165,212,0.270719892
04AJ,CapBac&CasSyl,7,14,7,1.6731183626433,Hetero.diff,9,2,0.6869615765973,6,9,1.6769877743224,12,0.5833333333,,277,200,,42.4446,85,3,2,6,5,1.560710409,19.1,19.571428571,134,137,0.267733558
04AJ,CapBac&CelIgu,4,7,4,1.2770342594661,Hetero.diff,165,3,0.7773098260563,2,8,0.661563238158,12,0.3333333333,,501.66666667,,,70.133,90,3,2,4,2,0.5623351446,6.8,7,27,28,0.265064061
04AJ,CapBac&TreMic,13,46,13,2.2623045128463,Hetero.diff,165,5,1.1334498612456,3,3,1.0986122886681,12,1.0833333333,,385.55555556,,697.5,68.780666667,80,3,2,35,10,2.0116432057,11.4,17.384615385,148,226,0.2643121
04AJ,CasDec,3,6,3,1.0114042647074,Intra,341,5,0.9262125561067,1,1,0,24,0.125,,,,,0,90,1,1,2,1,0,7.7,12.333333333,23,37,0
04AJ,CasDec&CasSyl,5,13,5,1.4127446368639,Hetero.same,58,3,0.6503384442696,0,0,0,12,0.4166666667,,,,,0,90,2,2,10,3,0.9433483923,13.2,17.2,66,86,0.141899453
04AJ,CasDec&CelIgu,3,6,3,1.0114042647074,Hetero.diff,0,0,0,0,0,0,12,0.25,,,,,0,100,3,2,3,1,0,7.7,15,23,45,0.244484426
04AJ,CasDec&TreMic,10,27,10,2.1181463559531,Hetero.diff,29,7,1.5419195274743,2,2,0.6931471805599,12,0.8333333333,,,,841.66666667,17.955555556,95,3,2,20,6,1.6137942392,17.9,31.4,179,314,0.243732464
04AJ,CasSyl,5,14,5,1.4701319204088,Intra,142,5,0.8843881357949,3,4,1.0397207708399,24,0.2083333333,,,116.66666667,,2.17,100,1,1,10,3,0.9433483923,14.4,21.8,72,109,0
04AJ,CasSyl&CelIgu,6,15,6,1.2972958306258,Hetero.diff,55,2,0.6554817739014,0,0,0,12,0.5,,,,,0,100,3,2,5,4,1.3321790402,14.8,14.833333333,89,89,0.241498092
04AJ,CasSyl&TreMic,7,27,7,1.7351264569629,Hetero.diff,10,6,1.497866136777,2,2,0.6931471805599,12,0.5833333333,,,,1417.1428571,30.232380952,100,3,2,17,4,1.1499171378,15.9,20.142857143,111,141,0.24074613
04AJ,CelIgu,4,4,4,1.3862943611199,Intra,101,3,0.5509940193661,1,1,0,24,0.1666666667,,,,,0,90,1,1,3,3,1.0986122887,5.0,5,20,20,0
