Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita
03SS,AcnArb&TreMic,Hetero.diff,4,Acnistus_arborescens,4,30,206.6666667,90.41,447,37.25,2,0.166666667,3.625,29,2.416666667,2,5.33593423,4.515354882,5.477225575,3.64414356
03SS,AcnArb&TreMic,Hetero.diff,4,Trema_micrantha,1,30,242.6666667,213.54,423.5714286,35.29761905,9,0.75,7,49,4.083333333,2,5.495801171,5.368496201,5.477225575,3.591752148
03SS,All,Hetero.All,22,Acnistus_arborescens,4,10,259.3333333,145.1925,255,63.75,1,0.25,0,0,0,6,5.561962861,4.984924246,3.16227766,4.170533701
03SS,All,Hetero.All,22,Capsicum_baccatum,3,10,160,62.64333333,249.25,62.3125,4,1,15.22222222,137,34.25,6,5.081404365,4.15329458,3.16227766,4.148082782
03SS,All,Hetero.All,22,Casearia_sylvestris,3,10,110.3333333,58.46666667,57.5,14.375,0,0,0,0,0,6,4.712528704,4.085415931,3.16227766,2.732742814
03SS,All,Hetero.All,22,Celtis_iguanaea,3,10,77.33333333,15.43333333,0,0,1,0.25,0,0,0,6,4.360973225,2.799311792,3.16227766,0
03SS,All,Hetero.All,22,Trema_micrantha,3,10,254.3333333,90.52,372,93,12,3,17.27272727,190,47.5,6,5.542569881,4.516557528,3.16227766,4.543294782
03SS,CapBac,Intra,10,Capsicum_baccatum,4,10,169.6666667,39.29,1077.611111,44.90046296,15,0.625,82.1875,1315,54.79166667,1,5.139712337,3.696103299,3.16227766,3.826475203
03SS,CapBac&CasDec,Hetero.diff,7,Capsicum_baccatum,4,15,163,61.395,462,38.5,5,0.416666667,58,928,77.33333333,2,5.099866428,4.133485144,3.872983346,3.676300672
03SS,CapBac&CasSyl,Hetero.diff,12,Capsicum_baccatum,4,35,162.6666667,44.745,357.1428571,29.76190476,3,0.25,43.53846154,566,47.16666667,2,5.097831839,3.823082496,5.916079783,3.426277066
03SS,CapBac&CasSyl,Hetero.diff,12,Casearia_sylvestris,4,35,111.6666667,35.765,186.6666667,15.55555556,0,0,25,50,4.166666667,2,4.724433607,3.604546306,5.916079783,2.806721729
03SS,CapBac&CelIgu,Hetero.diff,9,Capsicum_baccatum,4,20,166,54.4325,535.6666667,44.63888889,6,0.5,57.625,922,76.83333333,2,5.117993812,4.015166064,4.472135955,3.82076018
03SS,CapBac&CelIgu,Hetero.diff,9,Celtis_iguanaea,4,20,255.6666667,32.55,90,7.5,2,0.166666667,0,0,0,2,5.547778226,3.513036863,4.472135955,2.140066163
03SS,CapBac&TreMic,Hetero.diff,6,Capsicum_baccatum,4,10,160.3333333,28.275,257.2727273,21.43939394,3,0.25,45.25,181,15.08333333,2,5.083472618,3.376733909,3.16227766,3.110818072
03SS,CapBac&TreMic,Hetero.diff,6,Trema_micrantha,4,10,326.6666667,57.355,457.8571429,38.1547619,15,1.25,34.46153846,448,37.33333333,2,5.791996832,4.066545045,3.16227766,3.667522047
03SS,CasDec&CasSyl,Hetero.same,21,Casearia_sylvestris,4,40,143.3333333,62.2225,213.3333333,17.77777778,0,0,1,8,0.666666667,2,4.972125439,4.14666025,6.32455532,2.932674138
03SS,CasDec&CelIgu,Hetero.diff,13,Celtis_iguanaea,4,60,160,47.705,0,0,0,0,0,0,0,2,5.081404365,3.885781694,7.745966692,0
03SS,CasDec&TreMic,Hetero.diff,18,Trema_micrantha,4,10,341.3333333,68.9975,458.2352941,38.18627451,11,0.916666667,1.692307692,22,1.833333333,2,5.835784921,4.248459527,3.16227766,3.668326545
03SS,CasSyl,Intra,2,Casearia_sylvestris,4,70,126.6666667,47.635,300,12.5,0,0,6.9,69,2.875,1,4.849422701,3.884343436,8.366600265,2.602689685
03SS,CasSyl&CelIgu,Hetero.diff,17,Casearia_sylvestris,4,10,129.6666667,38.66,100,8.333333333,0,0,3.25,26,2.166666667,2,4.872649551,3.680343123,3.16227766,2.233592222
03SS,CasSyl&CelIgu,Hetero.diff,17,Celtis_iguanaea,4,10,78,24.8375,0,0,0,0,30,30,2.5,2,4.369447852,3.251826925,3.16227766,0
03SS,CasSyl&TreMic,Hetero.diff,23,Casearia_sylvestris,4,5,137.3333333,50.8,80,6.666666667,0,0,0,0,0,2,4.929666231,3.947390149,2.236067977,2.036881927
03SS,CasSyl&TreMic,Hetero.diff,23,Trema_micrantha,4,5,314.3333333,65.15,714.6666667,59.55555556,10,0.833333333,10,180,15,2,5.75363028,4.191924891,2.236067977,4.103561217
03SS,CelIgu,Intra,5,Celtis_iguanaea,4,50,222.6666667,47.0925,100,4.166666667,0,0,16,160,6.666666667,1,5.410156848,3.87312624,7.071067812,1.642227735
03SS,CelIgu&TreMic,Hetero.same,16,Celtis_iguanaea,4,20,92.33333333,6.2025,0,0,0,0,0,0,0,2,4.536177314,1.974428188,4.472135955,0
03SS,CelIgu&TreMic,Hetero.same,16,Trema_micrantha,5,20,288.6666667,64.68,456,38,14,1.166666667,10.05882353,171,14.25,2,5.668730837,4.184794465,4.472135955,3.663561646
03SS,TreMic,Intra,11,Trema_micrantha,4,20,275.3333333,47.305,583.8888889,24.3287037,14,0.583333333,31.58823529,537,22.375,1,5.621607866,3.877535075,4.472135955,3.231938286
04AJ,AcnArb,Intra,8,Acnistus_arborescens,4,90,241.6666667,73.185,326.4285714,13.60119048,8,0.333333333,7,77,3.208333333,1,5.49168876,4.306561973,9.486832981,2.681103065
04AJ,AcnArb&CapBac,Hetero.same,1,Acnistus_arborescens,4,100,292.6666667,102.99,351.4285714,29.28571429,9,0.75,8.5,34,2.833333333,2,5.682445337,4.644294741,10,3.410676126
04AJ,AcnArb&CapBac,Hetero.same,1,Capsicum_baccatum,4,100,112.3333333,29.885,253.3333333,21.11111111,6,0.5,8.4,84,7,2,4.730333329,3.430270629,10,3.096080247
04AJ,AcnArb&CasDec,Hetero.diff,6,Acnistus_arborescens,4,90,214.3333333,70.0375,297.5,24.79166667,6,0.5,5.916666667,71,5.916666667,2,5.372187215,4.263207907,9.486832981,3.250051442
04AJ,AcnArb&CasSyl,Hetero.diff,14,Acnistus_arborescens,4,70,245,82.6,220,18.33333333,10,0.833333333,12.2,122,10.16666667,2,5.505331536,4.42604352,8.366600265,2.961830722
04AJ,AcnArb&CasSyl,Hetero.diff,14,Casearia_sylvestris,4,70,123,22.5425,0,0,0,0,0,0,0,2,4.820281566,3.158807298,8.366600265,0
04AJ,AcnArb&CelIgu,Hetero.diff,21,Acnistus_arborescens,4,100,236.3333333,46.855,218.5714286,18.21428571,5,0.416666667,14.88888889,134,11.16666667,2,5.469465623,3.868175606,10,2.95565405
04AJ,AcnArb&CelIgu,Hetero.diff,21,Celtis_iguanaea,4,100,94.66666667,9.1475,0,0,0,0,0,0,0,2,4.560869927,2.31722737,10,0
04AJ,AcnArb&TreMic,Hetero.diff,12,Acnistus_arborescens,4,80,289.3333333,84.88,265.2,22.1,5,0.416666667,7.8,39,3.25,2,5.671029688,4.452950973,8.94427191,3.139832618
04AJ,AcnArb&TreMic,Hetero.diff,12,Trema_micrantha,4,80,376.6666667,30.99,212.5,17.70833333,6,0.5,11.25,45,3.75,2,5.934011972,3.465423354,8.94427191,2.928969057
04AJ,All,Hetero.All,19,Acnistus_arborescens,4,70,215.3333333,101.2875,174.2857143,43.57142857,9,2.25,14.375,115,28.75,6,5.376820428,4.627787476,8.366600265,3.797093039
04AJ,All,Hetero.All,19,Capsicum_baccatum,2,70,119.6666667,43.4,211.1111111,52.77777778,2,0.5,9.5,38,9.5,6,4.793031923,3.793239469,8.366600265,3.984860329
04AJ,All,Hetero.All,19,Casearia_sylvestris,4,70,112.3333333,21.8675,0,0,0,0,0,0,0,6,4.730333329,3.129716689,8.366600265,0
04AJ,All,Hetero.All,19,Celtis_iguanaea,3,70,117.3333333,13.57,0,0,0,0,0,0,0,6,4.773505501,2.67896462,8.366600265,0
04AJ,All,Hetero.All,19,Trema_micrantha,4,70,362,29.175,265.4545455,66.36363636,7,1.75,16.5,66,16.5,6,5.894402834,3.407013767,8.366600265,4.210105352
04AJ,CapBac,Intra,22,Capsicum_baccatum,4,65,160.6666667,44.835,912,38,1,0.041666667,45,450,18.75,1,5.085536602,3.825047991,8.062257748,3.663561646
04AJ,CapBac&CasDec,Hetero.diff,23,Capsicum_baccatum,4,80,134,40.0675,459.0625,38.25520833,4,0.333333333,37.27272727,410,34.16666667,2,4.905274778,3.715217054,8.94427191,3.670084132
04AJ,CapBac&CasSyl,Hetero.diff,3,Capsicum_baccatum,1,85,133.6666667,49.12,277,23.08333333,2,0.166666667,10.44444444,94,7.833333333,2,4.90280259,3.91442013,9.219544457,3.181520038
04AJ,CapBac&CasSyl,Hetero.diff,3,Casearia_sylvestris,4,85,136.3333333,36.395,200,16.66666667,1,0.083333333,0,0,0,2,4.92241106,3.621537006,9.219544457,2.871679625
04AJ,CapBac&CelIgu,Hetero.diff,13,Capsicum_baccatum,0,90,122,0,501.6666667,41.80555556,0,0,17.1,171,14.25,2,4.812184355,0,9.486832981,3.756667897
04AJ,CapBac&CelIgu,Hetero.diff,13,Celtis_iguanaea,4,90,79.66666667,19.1775,0,0,0,0,0,0,0,2,4.390325438,3.004568122,9.486832981,0
04AJ,CapBac&TreMic,Hetero.diff,4,Capsicum_baccatum,1,80,162.3333333,23.76,385.5555556,32.12962963,5,0.416666667,21.14285714,148,12.33333333,2,5.095793102,3.209229448,8.94427191,3.500428037
04AJ,CapBac&TreMic,Hetero.diff,4,Trema_micrantha,4,80,264.3333333,31.4025,697.5,58.125,7,0.583333333,16.25,65,5.416666667,2,5.580986897,3.47823558,8.94427191,4.079653847
04AJ,CasDec&CasSyl,Hetero.same,16,Casearia_sylvestris,4,90,128.6666667,30.4725,0,0,3,0.25,8.285714286,58,4.833333333,2,4.864967055,3.449114149,9.486832981,0
04AJ,CasDec&CelIgu,Hetero.diff,9,Celtis_iguanaea,4,100,121,22.1575,0,0,0,0,80,80,6.666666667,2,4.804021045,3.142318702,10,0
04AJ,CasDec&TreMic,Hetero.diff,7,Trema_micrantha,4,95,228.6666667,49.9525,841.6666667,70.13888889,13,1.083333333,2.538461538,33,2.75,2,5.436628982,3.930893826,9.746794345,4.264634148
04AJ,CasSyl,Intra,10,Casearia_sylvestris,4,100,151.6666667,33.905,116.6666667,4.861111111,4,0.166666667,14.2,142,5.916666667,1,5.028256896,3.552630085,10,1.768339195
04AJ,CasSyl&CelIgu,Hetero.diff,11,Casearia_sylvestris,4,100,126.3333333,36.895,0,0,0,0,7,70,5.833333333,2,4.84680832,3.634819177,10,0
