Site,Treatment,Plant Species,phylo_dist,Label,Data
2JM2,CapBacCasSyl,CapBac,247.5,ant,0
2JM2,CapBacCasSyl,CapBac,247.5,herbivore,1
2JM2,CapBacCasSyl,CapBac,247.5,phloem_feeder,0
2JM2,CapBacCasSyl,CapBac,247.5,pollinator,0
2JM2,CapBacCasSyl,CapBac,247.5,predator,0
2JM2,CapBacCasSyl,CasSyl,247.5,ant,0
2JM2,CapBacCasSyl,CasSyl,247.5,herbivore,1
2JM2,CapBacCasSyl,CasSyl,247.5,phloem_feeder,1
2JM2,CapBacCasSyl,CasSyl,247.5,pollinator,0
2JM2,CapBacCasSyl,CasSyl,247.5,predator,0
2JM2,CapBacCelIgu,CapBac,247.5,ant,0
2JM2,CapBacCelIgu,CapBac,247.5,herbivore,1
2JM2,CapBacCelIgu,CapBac,247.5,phloem_feeder,1
2JM2,CapBacCelIgu,CapBac,247.5,pollinator,0
2JM2,CapBacCelIgu,CapBac,247.5,predator,0
2JM2,CapBacCelIgu,CelIgu,247.5,ant,0
2JM2,CapBacCelIgu,CelIgu,247.5,herbivore,2
2JM2,CapBacCelIgu,CelIgu,247.5,phloem_feeder,2
2JM2,CapBacCelIgu,CelIgu,247.5,pollinator,0
2JM2,CapBacCelIgu,CelIgu,247.5,predator,0
2JM2,CapBacTreMic,TreMic,247.5,ant,0
2JM2,CapBacTreMic,TreMic,247.5,herbivore,0
2JM2,CapBacTreMic,TreMic,247.5,phloem_feeder,1
2JM2,CapBacTreMic,TreMic,247.5,pollinator,1
2JM2,CapBacTreMic,TreMic,247.5,predator,0
2JM2,CasDec,CasDec,0,ant,2
2JM2,CasDec,CasDec,0,herbivore,0
2JM2,CasDec,CasDec,0,phloem_feeder,2
2JM2,CasDec,CasDec,0,pollinator,0
2JM2,CasDec,CasDec,0,predator,0
2JM2,CasDecCasSyl,CasDec,25.3,ant,1
2JM2,CasDecCasSyl,CasDec,25.3,herbivore,0
2JM2,CasDecCasSyl,CasDec,25.3,phloem_feeder,0
2JM2,CasDecCasSyl,CasDec,25.3,pollinator,0
2JM2,CasDecCasSyl,CasDec,25.3,predator,0
2JM2,CasDecCelIgu,CasDec,231.6,ant,0
2JM2,CasDecCelIgu,CasDec,231.6,herbivore,1
2JM2,CasDecCelIgu,CasDec,231.6,phloem_feeder,0
2JM2,CasDecCelIgu,CasDec,231.6,pollinator,0
2JM2,CasDecCelIgu,CasDec,231.6,predator,0
2JM2,CasDecCelIgu,CelIgu,231.6,ant,0
2JM2,CasDecCelIgu,CelIgu,231.6,herbivore,0
2JM2,CasDecCelIgu,CelIgu,231.6,phloem_feeder,0
2JM2,CasDecCelIgu,CelIgu,231.6,pollinator,0
2JM2,CasDecCelIgu,CelIgu,231.6,predator,1
2JM2,CasDecTreMic,CasDec,231.6,ant,0
2JM2,CasDecTreMic,CasDec,231.6,herbivore,0
2JM2,CasDecTreMic,CasDec,231.6,phloem_feeder,0
2JM2,CasDecTreMic,CasDec,231.6,pollinator,0
2JM2,CasDecTreMic,CasDec,231.6,predator,1
2JM2,CasDecTreMic,TreMic,231.6,ant,1
2JM2,CasDecTreMic,TreMic,231.6,herbivore,0
2JM2,CasDecTreMic,TreMic,231.6,phloem_feeder,4
2JM2,CasDecTreMic,TreMic,231.6,pollinator,2
2JM2,CasDecTreMic,TreMic,231.6,predator,0
2JM2,CasSyl,CasSyl,0,ant,1
2JM2,CasSyl,CasSyl,0,herbivore,1
2JM2,CasSyl,CasSyl,0,phloem_feeder,0
2JM2,CasSyl,CasSyl,0,pollinator,0
2JM2,CasSyl,CasSyl,0,predator,1
2JM2,CasSylCelIgu,CasSyl,231.6,ant,0
2JM2,CasSylCelIgu,CasSyl,231.6,herbivore,1
2JM2,CasSylCelIgu,CasSyl,231.6,phloem_feeder,0
2JM2,CasSylCelIgu,CasSyl,231.6,pollinator,0
2JM2,CasSylCelIgu,CasSyl,231.6,predator,0
