site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
04AJ,CelIgu&TreMic,Celtis_iguanaea,CelIgu52p,Hetero.same,1,129.419496
04AJ,CelIgu&TreMic,Celtis_iguanaea,CelIgu53p,Hetero.same,3,167.4188863
04AJ,CelIgu&TreMic,Celtis_iguanaea,CelIgu54p,Hetero.same,1,81.032096
04AJ,CelIgu&TreMic,Trema_micrantha,TreMic63p,Hetero.same,1,796.821786
04AJ,CelIgu&TreMic,Trema_micrantha,TreMic64p,Hetero.same,1,518.48465
04AJ,CelIgu&TreMic,Trema_micrantha,TreMic65p,Hetero.same,1,476.2099665
04AJ,CelIgu&TreMic,Trema_micrantha,TreMic66p,Hetero.same,1,368.287146
04AJ,TreMic,Trema_micrantha,TreMic93a,Intra,1,710.273024
04AJ,TreMic,Trema_micrantha,TreMic94a,Intra,2,808.491125
04AJ,TreMic,Trema_micrantha,TreMic95a,Intra,1,2710.399016
04AJ,TreMic,Trema_micrantha,TreMic96a,Intra,3,1078.680641
05PF1,AcnArb,Acnistus_arborescens,AcnArb48v,Intra,1,10248.44787
05PF1,AcnArb,Acnistus_arborescens,AcnArb49v,Intra,1,1512.85985
05PF1,AcnArb,Acnistus_arborescens,AcnArb50v,Intra,1,6001.916576
05PF1,AcnArb,Acnistus_arborescens,AcnArb51v,Intra,1,3262.759007
05PF1,AcnArb&CapBac,Acnistus_arborescens,AcnArb52v,Hetero.same,1,1448.765856
05PF1,AcnArb&CapBac,Acnistus_arborescens,AcnArb53v,Hetero.same,3,573.1006063
05PF1,AcnArb&CapBac,Acnistus_arborescens,AcnArb54v,Hetero.same,2,1075.352346
05PF1,AcnArb&CapBac,Acnistus_arborescens,AcnArb55v,Hetero.same,1,748.555904
05PF1,AcnArb&CapBac,Capsicum_baccatum,CapBac42v,Hetero.same,1,90.210944
05PF1,AcnArb&CapBac,Capsicum_baccatum,CapBac43v,Hetero.same,2,134.4276783
05PF1,AcnArb&CapBac,Capsicum_baccatum,CapBac44v,Hetero.same,3,115.3534997
05PF1,AcnArb&CapBac,Capsicum_baccatum,CapBac45v,Hetero.same,1,110.6040665
05PF1,AcnArb&CasDec,Acnistus_arborescens,AcnArb59p,Hetero.diff,2,2027.715013
05PF1,AcnArb&CasDec,Acnistus_arborescens,AcnArb60p,Hetero.diff,1,4661.521226
05PF1,AcnArb&CasDec,Acnistus_arborescens,AcnArb61p,Hetero.diff,1,5520.512186
05PF1,AcnArb&CasDec,Acnistus_arborescens,AcnArb62p,Hetero.diff,1,6366.980826
05PF1,AcnArb&CasDec,Casearia_decandra,CasDec78p,Hetero.diff,1,52.3978865
05PF1,AcnArb&CasDec,Casearia_decandra,CasDec79p,Hetero.diff,1,98.6463185
05PF1,AcnArb&CasDec,Casearia_decandra,CasDec80p,Hetero.diff,1,55.918376
05PF1,AcnArb&CasDec,Casearia_decandra,CasDec81p,Hetero.diff,1,187.624106
05PF1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb70a,Hetero.diff,1,1482.003463
05PF1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb71a,Hetero.diff,4,581.0243048
05PF1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb72a,Hetero.diff,3,1993.193212
05PF1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb73a,Hetero.diff,3,1402.574651
05PF1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl53a,Hetero.diff,1,130.4293985
